case_id,tier,primary_classification,secondary_morphology_classification,hard_invariants_passed,conservation_invariants_passed,pair_identity_resolved_initially,pair_identity_resolved_at_final_checkpoint,raw_application_exit,grid,radius_um,window_um,mobility_multiplier,temperature_K,rate_s-1,steps_observed,final_time_s,final_strain,tip_change_m,mean_normal_change_m,excess_area_change_m2,amplitude_change_m,final_pressure_Pa,wallclock_seconds
A1_baseline_bulge,A,SIBM_PAIR_IDENTITY_LOST,SIBM_LATERAL_SPREADING_WITHOUT_NORMAL_ADVANCE,False,True,False,False,0,128,0.75,3.0,1.0,1100.0,1000.0,11999,0.0011993085534346972,1.1993085534346972,5.926299242837973e-08,1.1901472581820338e-07,3.051757812500007e-14,-2.250569017821117e-07,1558791.0619005337,4608.0
A2_no_bulge,A,SIBM_FLAT_BOUNDARY_MIGRATION_ONLY,SIBM_FLAT_BOUNDARY_MIGRATION_ONLY,False,True,True,False,1,128,0.0,3.0,1.0,1100.0,1000.0,300,2.934581157519612e-05,0.02934581157519608,7.640254857177908e-07,7.694643530009686e-07,2.18505859375e-12,-5.920302829912267e-09,16861182.05591654,138.0
A3_window_2um,A,SIBM_PAIR_IDENTITY_LOST,SIBM_LATERAL_SPREADING_WITHOUT_NORMAL_ADVANCE,False,True,False,False,0,128,0.75,2.0,1.0,1100.0,1000.0,5999,0.000599308553459679,0.5993085534596758,8.198219641523675e-08,4.4478118802087974e-07,6.835937500000001e-13,-4.4006197240230247e-07,3859135.4864747263,2193.0
A4_window_3p5um,A,SIBM_PAIR_IDENTITY_LOST,SIBM_LATERAL_SPREADING_WITHOUT_NORMAL_ADVANCE,False,True,False,False,0,128,0.75,3.5,1.0,1100.0,1000.0,5999,0.0005993085534035813,0.5993085534035781,8.157910443693792e-08,4.4479859010850787e-07,6.835937500000001e-13,-4.4302414230976624e-07,3809868.372449807,2403.0
A5_radius_0p5um,A,SIBM_PAIR_IDENTITY_LOST,SIBM_LATERAL_SPREADING_WITHOUT_NORMAL_ADVANCE,False,True,False,False,1,128,0.5,3.0,1.0,1100.0,1000.0,1700,0.00016933082563693868,0.16933082563693308,1.8840413504578047e-08,6.114956744320793e-07,1.4343261718750001e-12,-7.120751384108133e-07,11898280.230155364,602.0
A6_radius_1um,A,SIBM_PAIR_IDENTITY_LOST,SIBM_RESOLVED_NORMAL_GROWTH,False,True,False,False,0,128,1.0,3.0,1.0,1100.0,1000.0,5999,0.0005993239085644187,0.5993239085644155,1.7087404596165398e-07,3.8022634056985695e-07,2.0141601562499999e-13,-2.706249405460513e-07,3774892.5633871797,2010.0
B1_mobility_0p3,B,SIBM_PAIR_IDENTITY_LOST,SIBM_RESOLVED_NORMAL_GROWTH,False,True,False,False,0,128,0.75,3.0,0.3,1100.0,1000.0,5999,0.0005992575897492483,0.599257589749245,1.8345897211250276e-07,5.500001723095439e-07,8.30078125e-13,-4.43717798167212e-07,6799747.696713304,2495.0
B2_mobility_3,B,SIBM_PAIR_IDENTITY_LOST,INCONCLUSIVE_INSUFFICIENT_NORMAL_DISPLACEMENT,False,True,False,False,0,128,0.75,3.0,3.0,1100.0,1000.0,5999,0.0005993202240692084,0.5993202240692052,3.5078141965008226e-08,3.5008843415584624e-08,-3.173828125e-13,-7.95932918676607e-08,3402568.494944297,2496.0
B3_temperature_1000K,B,SIBM_PAIR_IDENTITY_LOST,SIBM_LATERAL_SPREADING_WITHOUT_NORMAL_ADVANCE,False,True,False,False,0,128,0.75,3.0,1.0,1000.0,1000.0,5999,0.0005992424231430306,0.5992424231430274,9.068609383372573e-08,4.843656227576358e-07,7.324218750000001e-13,-4.574246909132968e-07,4958862.407886225,1985.0
B4_temperature_1200K,B,SIBM_PAIR_IDENTITY_LOST,SIBM_LATERAL_SPREADING_WITHOUT_NORMAL_ADVANCE,False,True,False,False,0,128,0.75,3.0,1.0,1200.0,1000.0,5999,0.0005994672384296637,0.5994672384296605,8.754200787579102e-08,4.3760237213661453e-07,6.469726562500001e-13,-4.3830236743268593e-07,3918797.5050734663,1991.0
